1153;SAVANNAH;LYNX
1499;JUNGLE;JACKALOPE
1954;JUNGLE;WHITE_GORILLA,BUFFALO
1233;TUNDRA;WHITE_GORILLA,GORILLA,OWL
1610;TUNDRA;WHITE_TIGER,WHITE_GORILLA
1791;JUNGLE;JACKALOPE,JACKALOPE
1520;SAVANNAH;WHITE_TIGER
1212;TUNDRA;WHITE_GORILLA,OWL
1140;SAVANNAH;TURTLE
1349;SAVANNAH;BUFFALO,WHITE_TIGER,WHITE_GORILLA
1169;JUNGLE;MONKEY
1373;JUNGLE;WHITE_TIGER
1478;JUNGLE;GORILLA
1490;SAVANNAH;LEOPARD,TURTLE
1535;SAVANNAH;LYNX
1954;JUNGLE;WHITE_TIGER
1786;JUNGLE;TURTLE,SNAKE
1165;JUNGLE;TURTLE,LYNX,LYNX
1222;JUNGLE;MONKEY,GORILLA,GORILLA
1930;TUNDRA;MONKEY,JACKALOPE,JACKALOPE
1765;JUNGLE;MONKEY
1477;JUNGLE;LYNX,GORILLA,TARSIER
1420;TUNDRA;MONKEY,TURTLE,LYNX
1141;JUNGLE;SNAKE,BUFFALO
1948;SAVANNAH;BUFFALO,WHITE_TIGER
1576;JUNGLE;TIGER,GORILLA,SNAKE
1643;JUNGLE;SNAKE,WHITE_GORILLA
1051;TUNDRA;TIGER,LYNX,TARSIER
1287;SAVANNAH;TIGER,MONKEY,OWL
1430;SAVANNAH;GORILLA
1351;JUNGLE;OWL,MONKEY,OWL
1757;JUNGLE;TIGER,SNAKE
1483;JUNGLE;WHITE_GORILLA
1447;SAVANNAH;TURTLE
1607;JUNGLE;TARSIER
1567;JUNGLE;TURTLE,LEOPARD,MONKEY
1672;TUNDRA;TARSIER
1714;SAVANNAH;MONKEY,BUFFALO
1613;SAVANNAH;WHITE_TIGER,JACKALOPE,SNAKE
1509;TUNDRA;GORILLA,TIGER
1008;JUNGLE;LYNX,WHITE_TIGER
1819;TUNDRA;WHITE_GORILLA,MONKEY
1160;JUNGLE;JACKALOPE,OWL,MONKEY
1482;SAVANNAH;GORILLA,WHITE_GORILLA,LEOPARD
1382;SAVANNAH;SNAKE,LEOPARD,MONKEY
1999;JUNGLE;WHITE_TIGER,LEOPARD,LYNX
1031;TUNDRA;SNAKE,SNAKE,OWL
1519;TUNDRA;OWL,GORILLA
1563;SAVANNAH;SNAKE,WHITE_TIGER,SNAKE
1362;SAVANNAH;BUFFALO
1237;SAVANNAH;SNAKE,TURTLE,MONKEY
1743;TUNDRA;JACKALOPE
1799;SAVANNAH;TIGER,SNAKE
1709;SAVANNAH;JACKALOPE
1686;TUNDRA;OWL,LEOPARD,GORILLA
1656;JUNGLE;MONKEY
1985;TUNDRA;JACKALOPE,MONKEY,GORILLA
1218;JUNGLE;GORILLA
1251;JUNGLE;SNAKE,WHITE_TIGER,WHITE_TIGER
1320;JUNGLE;SNAKE,TARSIER,TARSIER
1855;TUNDRA;BUFFALO,LYNX,MONKEY
1229;JUNGLE;LEOPARD,WHITE_TIGER
1307;SAVANNAH;SNAKE
1387;SAVANNAH;LYNX,BUFFALO
1356;SAVANNAH;BUFFALO,TURTLE
1787;TUNDRA;TURTLE
1105;SAVANNAH;BUFFALO
1986;JUNGLE;OWL,JACKALOPE
1032;TUNDRA;LYNX,LEOPARD
1959;JUNGLE;MONKEY,JACKALOPE,WHITE_TIGER
1776;SAVANNAH;JACKALOPE,BUFFALO
1319;SAVANNAH;BUFFALO,JACKALOPE,TIGER
1697;JUNGLE;BUFFALO,GORILLA
1772;JUNGLE;TARSIER,TIGER
1919;SAVANNAH;MONKEY,LEOPARD,LEOPARD
1491;JUNGLE;OWL
1586;JUNGLE;LEOPARD,LEOPARD
1102;TUNDRA;OWL,JACKALOPE
1409;TUNDRA;JACKALOPE,TIGER,GORILLA
1622;JUNGLE;LEOPARD
1007;TUNDRA;LEOPARD,TARSIER,TURTLE
1949;JUNGLE;TURTLE,BUFFALO
1485;TUNDRA;TURTLE,TIGER
1625;TUNDRA;SNAKE,TURTLE
1279;JUNGLE;TURTLE,LEOPARD,MONKEY
1263;TUNDRA;SNAKE
1790;SAVANNAH;TURTLE
1774;TUNDRA;MONKEY,LEOPARD
1172;JUNGLE;MONKEY
1574;TUNDRA;WHITE_TIGER,OWL
1394;TUNDRA;SNAKE,BUFFALO,SNAKE
1045;JUNGLE;TIGER,WHITE_GORILLA
1648;JUNGLE;GORILLA,WHITE_GORILLA,LEOPARD
1659;TUNDRA;GORILLA,SNAKE,MONKEY
1175;JUNGLE;BUFFALO,LYNX
1548;TUNDRA;GORILLA
1272;SAVANNAH;MONKEY,JACKALOPE,GORILLA
1854;SAVANNAH;WHITE_GORILLA
1812;JUNGLE;JACKALOPE
1927;TUNDRA;TIGER,LYNX,TARSIER
1349;JUNGLE;JACKALOPE,BUFFALO,OWL
1020;SAVANNAH;TARSIER,JACKALOPE
1175;JUNGLE;GORILLA,JACKALOPE
1208;TUNDRA;LEOPARD,JACKALOPE
1895;JUNGLE;WHITE_TIGER,TURTLE
1330;TUNDRA;OWL,SNAKE
1899;TUNDRA;TARSIER,JACKALOPE,TARSIER
1654;TUNDRA;WHITE_TIGER,TARSIER
1144;SAVANNAH;BUFFALO
1235;SAVANNAH;TURTLE,WHITE_GORILLA,TARSIER
1784;TUNDRA;TURTLE,TURTLE
1194;SAVANNAH;OWL
1360;TUNDRA;OWL,MONKEY,GORILLA
1603;TUNDRA;OWL,LYNX,TURTLE
1166;TUNDRA;WHITE_GORILLA,TARSIER
1673;SAVANNAH;GORILLA,TARSIER,TARSIER
1674;SAVANNAH;BUFFALO,SNAKE,JACKALOPE
1379;TUNDRA;WHITE_GORILLA
1262;JUNGLE;WHITE_GORILLA
1345;JUNGLE;LEOPARD
1453;TUNDRA;LEOPARD
1903;TUNDRA;LYNX,TIGER
1572;SAVANNAH;MONKEY,TARSIER
1865;TUNDRA;TARSIER,OWL,WHITE_TIGER
1272;TUNDRA;TURTLE,OWL
1743;TUNDRA;LYNX,SNAKE
